NCEI id,County,State,Datetime,WFO,Comment,Evidence
1177375,Yuma,CO,2024-04-26T00:15,GLD,Possible the time is incorrect. Multiple LSRs of landspouts in the area around 23Z and supported with radar showing the storm well NE of location at event time,
1165339,Brown,KS,2024-04-27T19:05,TOP,"Not necessarily an error with the entry, however satellite imagery shows a defined path through fields just north of this entry's path. Start: 39.911N, -95.386W End: 39.925N, -95.361W",
1175409,Morgan,MO,2024-04-28T03:29,SGF,Start location is a mile or so SW of the original survey point,
1177191,Grimes,TX,2024-04-28T23:25,HGX,Width seems inaccurate at 50 yrds. Damage polygon is 1200 yards at it's widest and original survey width is 100 yards. Not sure how often WFOs follow the width of the DAT polygon,
1187547,Kittitas,WA,2024-05-01T22:00,PDT,Landspout has 1 yard width and time maybe incorrect. LSR of funnel cloud at 21:30Z. Entry also states the landspout lasted an hour,
1182535,Jefferson Davis,LA,2024-05-02T16:32,LCH,Tornado has a width of 1 yard,
,Arecibo,PR,2024-05-02T21:58,SJU,Missing EF0 tornado,
,Jones,TX,2024-05-02T23:55,SJT,"Missing tornado that preceded Hawley tornado in Anson, TX",https://www.youtube.com/watch?v=7YG8r9cm_UY
1215353,Lincoln,NE,2024-05-06T18:53,LBF,Time may be incorrect. LSR has a 17:00Z time,
1215350,Custer,NE,2024-05-06T23:40,LBF,Time may be incorrect. LSR has a 21:40Z time. Width is also 1 yard,
1188178,Jackson,MO,2024-05-07T05:39,EAX,Incorrect time. Based on PNS and LSR the start time should be 04:39Z.,
1188181,Pettis,MO,2024-05-07T06:51,EAX,Incorrect time. Per PNS and LSR the start time should be 05:51Z,
1188182,Randolph,MO,2024-05-07T07:43,EAX,Incorrect time. Per PNS and LSR the start time should be 06:43Z,
1188183,Randolph,MO,2024-05-07T07:44,EAX,Incorrect time. Per PNS and LSR the start time should be 06:44Z,
1169256,Walworth,WI,2024-05-07T19:18,MKX,Originally surveyed as an EF1 with 90 mph winds,
1166361,Shelby,IN,2024-05-08T00:02,IND,Original time was 23:31Z. Unsure if times were adjusted to associate the tornado with another storm,
1184681,Hancock,WV,2024-05-08T05:06,PBZ,"Missing injury. LSR has a woman injured by flying glass, but missing from event entry",
1167387,Robertson,TN,2024-05-08T19:43,OHX,Original survey width was 400 yards. Event entry lists 200 yard max width,
1167433,Marshall,TN,2024-05-08T23:05,OHX,This segment of the track should be EF0 as that was the highest DI surveyed in the county. Width should also be double checked,
1186090,Gilmer,GA,2024-05-09T03:26,FFC,Original survey and event narrative have this as a 90 MPH EF1,
1185753,Houston,AL,2024-05-10T09:02,TAE,End time is likely incorrect. At 09:20Z the circulation is 7 nm SE of end point of survey. Radar supports the tornado possibly persisting until 09:17Z however,
1175628,Howard,NE,2024-05-12T22:42,GID,Path may be backwards given storm motion was to the NW,
1194639,Lawrence,MS,2024-05-13T08:32,JAN,"Location is incorrect. Should be SW of Topeka, MS or 31.4113, -90.2088/ 31.4097, -90.2005",
1167095,Taney,MO,2024-05-13T20:39,SGF,1 indirect injury listed however none were documented in the PNS or narrative,
1171030,Phillips,MT,2024-05-16T23:15,GGW,Time is off by an hour. Should be 22:15Z,
,Johnson,KS,2024-05-20T03:19,EAX,Missing EF1 tornado,
,Leavenworth,KS,2024-05-20T03:26,EAX,Missing EF1 tornado,
,Johnson,KS,2024-05-20T03:31,EAX,Missing EF1 tornado,
,Johnson,KS,2024-05-20T03:39,EAX,Missing EF1 tornado,
1170039,Marquette,WI,2024-05-22T00:59,MKX,Duplicate entry of 1179282,
1191778,Barber,KS,2024-05-26T00:15,DDC,Tornado has a width of 1 yard and length of 0.1 mile in entry. Original survey has 100 yards and length of 1.39 mi,
1187562,Rapides,LA,2024-05-31T02:16,LCH,Track is backwards,
1196190,Terrell,TX,2024-06-03T00:14,MAF,Missing 12 injuries from PNS: https://mesonet.agron.iastate.edu/wx/afos/p.php?pil=PNSMAF&e=202406041557,
1174106,Briscode,TX,2024-06-03T01:10,LUB,"There were three tornadoes, with this entry covering the last two that occurred concurrently. Based on TX Tech mobile radar and spotter photos. Location should be -101.2058, 34.5522 to -101.1971, 34.5531",
,Amite,MS,2024-06-04T21:58,LIX,Missing surveyed EF0 tornado south of Auburn,
1174094,Loudoun,VA,2024-06-05T22:42,LWX,Originally surveyed as an EF1 with 95 mph winds,
1174104,Howard,MD,2024-06-06T00:31,LWX,Originally surveyed as an EF1 with 95 mph winds,
1189052,Muskingum,OH,2024-06-06T04:37,PBZ,Missing 8 injuries indicated in the PNS,
1193099,Lafourche,LA,2024-06-11T22:15,LIX,Waterspout time maybe incorrect? LSR time is at 21:15 instead,
1195652,Lake,MN,2024-06-12T23:08,DLH,Originally surveyed as a 95 MPH EF1,
1186170,McLean,IL,2024-06-14T01:28,ILX,Track is backwards,
1186184,McLean,IL,2024-06-14T01:29,ILX,Track is backwards,
1192353,Ford,KS,2024-06-19T00:47,DDC,Duplicate of 1192344 with incorrect time,
1196418,Aransas,TX,2024-06-19T21:49,CRP,Time of entry incorrect. Should be 23:49Z instead,
1182130,Goshen,WY,2024-06-20T20:45,CYS,Originally assessed to have ended at 20:50Z. Storm east of Hawk Springs at entry’s 21:00Z endtime,
1198124,San Juan,UT,2024-06-21T23:30,GJT,Narrative says this landspout was brief however the entry is 30 minutes long. Based on KGJX radar a more likely time is near 23:55-00:00Z,
1216482,Grant,NE,2024-06-25T02:47,LBF,All entries of the Whitman tornado are an hour ahead. Time should be 01:47-02:44Z,
1198110,Washington,PA,2024-06-26T11:26,PBZ,This and entry 1198118 have incorrect times. Should be 23:26-23:38Z,
,Allegheny,PA,2024-06-26T23:59,PBZ,EF1 tornado with 90 MPH winds missing from storm data. Could not find severe wind entry if it had been reclassified,
1198121,Greene,PA,2024-06-27T00:27,PBZ,Wrong county in the entry. Should be Greene instead of Allegheny,
1179721,Bristol,MA,2024-06-27T03:23,BOX,It seems like this segment has the same length and damage as the previous 1179722,
1188539,Dare,NC,2024-06-27T17:58,MHX,Waterspout time is incorrect. Original LSR for 16:58 and matches radar,
1188388,Lee,FL,2024-06-30T23:15,TBW,"Times for this entry and the waterspout segments 1188386, 1188387 are likely to be in UTC time. 18:15-18:18Z was in the original LSR and matches thunderstorm occurrence",
1196593,Custer,NE,2024-07-03T23:35:00,LBF,"Time might be incorrect, or location. Circulation is 6 nm SE of LSR location at the valid entry time. At 23:25Z the circulation passes by report location",
1200557,Fillmore,NE,2024-07-06T22:34:00,GID,Double count of damages,
1203707,De Soto,LA,2024-07-08T19:57:00,SHV,Time seems incorrect. A supercell was passing to the east of event time/location and did not produce a TDS as the narrative stated. However a supercell later did near the surveyed location at 21:57Z,
1203717,Sabine,LA,2024-07-08T20:59:00,SHV,Track is backwards,
1203229,Gibson,IN,2024-07-09T21:48:00,PAH,Time appears incorrect. Original LSR has the tornado occurring at 21:37Z instead. This matches the passage of the supercell,
1198973,Valley,MT,2024-07-13T01:30:00,GGW,Time may be off. The mesocyclone of the supercell is 10 miles NW of event location at 01:30Z. The storm passes over area at 02:00Z which would be a more probable time,
1187375,Marshall,IL,2024-07-15T05:10:00,ILX,Time may be incorrect. At 05:10Z the edge of the line is well south and east. The time places the tornado in the trailing stratiform. Better time is 04:45-04:48Z,
1188793,Pamlico,NC,2024-07-20T00:13:00,MHX,Time is incorrect. Original LSR for 23:13Z instead and supported by radar,
1206662,San Juan,UT,2024-07-20T20:00:00,GJT,Entry has a time length of one hour. Original LSR is for 20:20Z and radar supports this time,
1202742,Elmore,ID,2024-07-25T23:00:00,BOI,Uncertain of time. No storms nearby landspout location,
1206960,Palm Beach,FL,2024-08-03T16:07:00,MFL,Time seems incorrect. No storms nearby at 16Z. Original LSR for the waterspout mentions 7 AM EDT which would be 12Z instead. Storms are nearby then,
1224075,Pinellas,FL,2024-08-04T22:50:00,TBW,This and entry 1224087 have incorrect times that are an hour behind. 21:44-21:53Z is correct,
1224073,Polk,FL,2024-08-04T18:58:00,TBW,Time is off by an hour. Original LSR is at 17:58Z and matches the passage of a supercell,
1215169,Pinellas,FL,2024-08-04T22:00:00,TBW,"Location of waterspout is well removed from location indicated on radar. On the 22:00Z 0.5 degree velocity scan from KTBW the waterspout was likely near 27.72N, 82.82W",
1191467,Worth,IA,2024-08-06T00:07:00,DMX,Time is off by an hour. Original survey has 01:07Z start time and matches storm passage,
1191470,Worth,IA,2024-08-06T00:43:00,DMX,Time is off by an hour. Original survey has 01:43Z start time and matches storm passage,
1191471,Worth,IA,2024-08-06T00:43:00,DMX,Time is off by an hour. Original survey has 01:43Z start time and matches storm passage,
1212746,Charleston,SC,2024-08-06T01:33:00,CHS,The time is incorrect. There were no storm cells crossing the coastline near Charleston at 01:33Z. An LSR was filled at this time also. Instead the best fit time is 05:33Z and perhaps the NCEI entry time was confused with a cell crossing the coast near Edisto Beach that also produced a tornado,
1214193,Vaca Key,FL,2024-08-07T19:26:00,KEY,Time is incorrect. Original LSR has 21:26Z and better matches shower passage,
1212705,Teller,CO,2024-08-09T22:08:00,PUB,Time is incorrect. Should be 21:08Z based on radar and LSR. Also entry is a single point when the survey track is available,
1211382,Broward,FL,2024-08-19T18:36:00,MFL,"The FXE ASOS observed waterspouts first at 17:42Z, 17:53, and 18:36Z. At 18:36 there was no convection near the location of the entry report but there were storms nearby at 17:42Z suggesting this is near the correct time",
1199022,Adams,CO,2024-08-19T20:55:00,BOU,Track may be backwards. Narrative says it traveled west however the track has the tornado moving east.,
1209224,Hidalgo,TX,2024-08-26T19:25:00,BRO,"Uncertain of the date or time. No storms near Donna, however possible for a landspout to still occur. Episode narrative suggests this event was on August 24, perhaps in error. Better time maybe 21:18Z",
1211200,Porter,IN,2024-09-07T11:58:00,LOT,Uncertain of time. LSR for a waterspout landfall several miles SW of this event at 13:05Z that is missing from storm data that could be a duplicate?,
,Lorain,OH,2024-09-25T00:04:00,CLE,Missing EF0 tornado from Storm Data,
,Habersham,GA,2024-09-25T19:04:00,GSP,Missing EF0 tornado from Storm Data,
1223857,Polk,FL,2024-09-26T14:20:00,TBW,Time seems incorrect. Storm passage matches a 13:20Z time instead,
1215344,Rockingham,NC,2024-09-27T19:25:00,RNK,Beginning lat seems incorrect. The 36.44 position of the entry is several miles south of the survey start and creates a path longer than 0.35 mi,
1218597,Monroe,NY,2024-10-08T15:00:00,BUF,"Location may be off. The passing shower is further north, near 43.41N, 77.42W",
1223136,Highlands,FL,2024-10-09T18:13:00,TBW,"Missing an injury, described in the event narrative",
1220967,Nueces,TX,2024-10-16T15:00:00,CRP,Original LSR is for 14Z which matches the storm time and location. Also the waterspout certainly did not last an hour,
1219741,Coconino,AZ,2024-10-18T23:15:00,FGZ,Length in the entry seems too long. Measured path from start/end points is 1.48 miles,
1219469,Cowlitz,WA,2024-10-28T21:30:00,PQR,Entry time seems slightly off from both LSR time of 21:23Z and the passage of the associated circulation on radar,
1221941,Tillamook,OR,2024-11-12T05:24:00,PQR,Missing an injury,
1222721,Douglas,MO,2024-11-05T00:26:00,SGF,Time seems incorrect. The LSR has 18:26Z however the circulation passed the surveyed area around 18:20-23Z. Additionally there is a near 3.5 mi path of downed timber on satellite imagery that coincides with a strong couplet (~60 vrot) from near Hwy 5 to the survey site,
1222720,Douglas,MO,2024-11-05T00:47:00,SGF,Timing seems slightly off. A TDS starts at 0045Z and persists until 0050Z,
1222719,Douglas,MO,2024-11-05T00:55:00,SGF,Time seems incorrect. A TDS was seen on the 0051Z scan and persists until 0058Z,
,Covington,AL,2024-12-10T06:06:00,MOB,Missing surveyed EF0 near Sanford,
1224046,Montgomery,TX,2024-12-28T18:05:00,HGX,End time seems off by 10 minutes. At 18:20Z the circulation on radar had passed the end of the surveyed tornado path.,
1223228,Lincoln,MS,2024-12-28T21:13:00,JAN,"Over count of injuries, should only be 2",
1226833,Cameron,LA,2024-12-28T21:51:00,LCH,The endtime of this segment is wrong. The radar time nearest to the end of the path is 22:32Z. Radar does support the tornado possibly lasting until 22:44Z,
1226852,Vernon,LA,2024-12-28T22:25:00,LCH,"Appears to be a duplicate of 1226851 but intended to be for an EF0 tornado that was surveyed SW of Afeman, LA. LSR has a 22:25Z time but the most likely time is 21:59Z-22:00Z after which a TDS was observed",
,Madison,LA,2024-12-28T22:28:00,JAN,"Missing EF1 tornado near Waverly, LA",
1225838,Lincoln,MS,2024-12-28T23:34:00,JAN,Track is backwards,
,Franklin,MS,2024-12-29T00:00:00,JAN,Franklin Co segment of this tornado is missing,
,Warren,MS,2024-12-29T00:10:00,JAN,Missing EF0 tornado,
,Lincoln,MS,2024-12-29T00:53:00,JAN,Missing EF1 tornado,
,Smith,MS,2024-12-29T01:42:00,JAN,Missing EF0 tornado NW of Raleigh,
,Smith,MS,2024-12-29T01:46:00,JAN,"Missing EF1 tornado near Burns, MS",
1225949,Wayne,MS,2024-12-29T03:33:00,MOB,Missing 4 injuries,
